Name,Adress,,Number,Topic,Description and information
Acadèmia d'Anglès Play and Learn *Bilbao,Carrer de Bilbao 216 (Sant Martí),"41.410595, 2.194059",935330702,Education,
Agrupament Escolta K2 Godwin Austen,C Muntanya 16*LB (Sant Martí),"41.410670, 2.186514",932329908,Kids,
Agrupament Escolta Sant Pere Claver - Centre Educatiu Jesuïtes del Clot,C València 680 (Sant Martí),"41.405906, 2.186831",933516011,Education,
Amics i Familiars de Nens amb Granulomatosi Crònica,Rambla de Guipúscoa 2 (Sant Martí),"41.409305, 2.201758",933032475,Health,
Antena Joves de Sant Martí - El Clot - Centre Cultural La Farinera del Clot,G.V. Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",603700892,Youngsters,
Asociacion por la Cultura Iroco,C Dos de Maig 200 (Sant Martí),"41.408474, 2.182686",,Culture,
Asociación Cultural Jaume 2/20 - King's Kids,Carrer del Municipi 20 (Sant Martí),"41.411443, 2.186840",,Culture,
Asociación Cultural Pasión Tunantera Perú Barcelona,Passatge de Vintró 9 (Sant Martí),"41.408926, 2.187597",603068390,Culture,
Asociación Sembrar Incidencia para la Transformación Social,Carrer del Concili de Trento 33 (Sant Martí),"41.413667, 2.181049",687 271 791,Solidarity/Activism,
Asociación Provivienda,Carrer d'Aragó 657 (Sant Martí),"41.409998, 2.183953",934100611,Housing,
Associació Amics del Moviment Quart Món Catalunya,Carrer del Clot 21*23 (Sant Martí),"41.405877, 2.186744",623063107,Solidarity/Activism,
Associació Aigua per al Sahel,Carrer de Lope de Vega 295 - 297 (Sant Martí),"41.415425, 2.185334",609 78 37 38,Solidarity/Activism,ong per burkina faso
Associació Burkineses de Barcelona,C Sant Joan de Malta 10 (Sant Martí),"41.409758, 2.184931",685485568,Culture,
Associació CampusRom - Xarxa Universitària Gitana de Catalunya,Carrer de Múrcia 2-8 (Sant Martí),"41.408741, 2.183536",931 14 82 33,Education,
Associació Casal de Gent Gran Joan Casanelles,C Concili de Trento 15*35 (Sant Martí),"41.413732, 2.180977",933562233,Old people,
Associació Casal de Joves Clot - Camp de l'Arpa,G.V. Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",932318432,Youngsters,
"Associació Dones AMF (Àvies, Mares i Filles)",Carrer de Sant Joan de Malta 11 (Sant Martí),"41.409717, 2.184903",640535038,Women,
Associació Health Us Nepal,Carrer de Rafael Capdevila 5 (Sant Martí),"41.411791, 2.191365",636 478 928,Health,
Associació Intercultural per l'Alliberament de Gènere,Carrer de la Verneda 1 (Sant Martí),"41.417717, 2.196486",616 591 134,Women,
Associació La Moixiganga de Barcelona,G.V. Corts Catalanes 911 (Sant Martí),"41.404714, 2.191166",607184071,Culture,
Associació Món Comunicació amb Visió de Gènere,C Concili de Trento 42 (Sant Martí),"41.413994, 2.181376",656920567,Women,
Associació Rigpa Espanya,C Clot 167-171 (Sant Martí),"41.406456, 2.185763",653362904,Religious,
Associació d'Artistes del Clot i Camp de l'Arpa,Carrer de la Muntanya 16B (Sant Martí),"41.410670, 2.186514",,Culture,
Associació d'Educació Popular Districte 10,Avinguda Meridiana 180 (Sant Martí),"41.410853, 2.185539",699819475,Education,
Associació del Ball de Bastons del Clot,Gran Via de les Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",610986878,Culture,
Aula de Música La Farigola del Clot,Carrer d'Hernán Cortés 6 - 20 (Sant Martí),"41.408635, 2.180753",,Culture,
Banc del Temps de Sant Martí,G.V. Corts Catalanes 837 (Sant Martí),"41.407961, 2.195690",93 291 84 04,,
Casal de Gent Gran Parc del Clot,Pl Joan Casanelles 1 (Sant Martí),"41.408484, 2.186600",600 846 464,Old people,
Casal de Joves del Clot i el Camp de l’Arpa,G.V. Corts Catalanes 837 (Sant Martí),"41.408484, 2.186600",932318432,Youngsters,
Castellers de Barcelona,Carrer de Bilbao 212 (Sant Martí),"41.410603, 2.193726",934982728,Culture,
Centre Cultural Islàmic Català,C Rafael Capdevila 1*3 (Sant Martí),"41.411676, 2.191098",932478727,Religious,
